country,region,in_ajr64,colonizer,religion,ever_colonized,protestant,catholic,edu_1900_cohort_lsec,edu_1925_cohort_lsec,edu_1950,edu_1975,edu_2000,edu_2020,edu_female_1950,primary_1950,log_gdp_1960,log_gdp_2020,le_1960,le_2020,tfr_1960,tfr_2020,u5mr_1960,u5mr_2015,polity2_avg_1980_2010,polity2_avg_1995_2010,polity2_2015,crossing_year,edu_at_cross
Burundi,Sub-Saharan Africa,False,Belgium,catholic,True,0,1,0.0,0.04,0.29,2.25,9.05,18.4,0.02,5.08,5.531389196987129,5.573916265604189,43.262,62.569,7.003,5.177,254.0,67.0,-1.5806451612903225,2.0625,-1.0,,
Cambodia,East Asia & Pacific,False,France,catholic,True,0,1,0.03,0.4,3.36,10.12,36.34,44.11,1.15,13.8,,7.554143226011155,42.134,70.059,6.313,2.699,256.0,32.0,0.3181818181818182,1.3125,2.0,2017.0,40.816
Cameroon,Sub-Saharan Africa,True,France,catholic,True,0,1,0.06,0.5,2.9,15.58,36.4,59.39,1.75,17.95,6.841294864189529,7.268584975869207,34.667,61.674,5.725,4.557,276.0,85.8,-5.774193548387097,-5.0,-5.0,,
Canada,North America,True,Britain,protestant,True,1,0,38.75,80.11,85.06,93.14,97.07,147.7,85.09,93.29,9.644229123649172,10.654104466729319,71.133171,81.535122,3.811,1.41,32.6,5.28,10.0,10.0,10.0,1963.0,83.286
Cape Verde,Other,False,,unknown,False,0,0,0.0,0.06,1.23,12.72,30.64,71.04,0.59,8.62,,8.088235159977678,48.713,73.818,6.885,1.591,231.0,21.5,4.612903225806452,9.25,10.0,2003.0,40.396
Central African Republic,Sub-Saharan Africa,False,France,catholic,True,0,1,0.7,1.99,4.64,8.64,14.18,17.97,0.52,9.88,6.355924294927083,5.988545977223295,39.572,50.596,5.948,6.059,282.0,129.0,-1.5161290322580645,2.0,0.0,,
Chad,Sub-Saharan Africa,False,France,catholic,True,0,1,0.01,0.08,0.6,3.83,11.69,21.89,0.23,4.25,6.687220666425625,6.785565658325546,39.216,53.082,6.25,6.346,293.0,130.0,-2.096774193548387,-1.0,-1.0,,
Chile,Latin America & Caribbean,True,Spain,catholic,True,0,1,7.41,19.66,24.49,61.17,91.88,120.13,24.7,50.24,8.077969585641059,9.447704253735399,57.216,79.349,4.697,1.307,157.0,7.89,4.516129032258065,9.0,10.0,1981.0,74.964
China,East Asia & Pacific,False,,none,False,0,0,0.0,0.25,9.95,47.09,86.1,127.68,3.97,31.98,5.48640831501575,9.266119580160227,33.419,78.019,4.451,1.236,309.0,10.7,-7.0,-7.0,-7.0,1994.0,79.244
Colombia,Latin America & Caribbean,True,Spain,catholic,True,0,1,2.13,4.55,11.23,31.77,59.22,106.12,10.23,38.24,7.581326669956284,8.681343179454538,56.609,74.757,6.735,1.694,136.0,15.7,7.612903225806452,7.0,7.0,1995.0,51.28
Comoros,Sub-Saharan Africa,False,France,muslim,True,0,0,0.0,0.05,0.62,9.85,31.86,58.08,0.16,1.65,,7.215023960546909,40.777,65.756,6.792,4.071,325.0,74.9,1.096774193548387,4.625,9.0,,
Congo,Sub-Saharan Africa,True,France,catholic,True,0,1,0.0,0.01,1.21,28.65,39.11,46.6,1.25,7.57,7.084105849028773,7.453278169758376,47.595,64.391,6.085,4.329,183.0,54.9,-4.0,-4.0,-4.0,,
Costa Rica,Latin America & Caribbean,True,Spain,catholic,True,0,1,2.15,5.02,14.61,37.87,50.31,73.24,14.54,37.52,8.191299380869935,9.412645086420058,63.463,79.725,6.712,1.448,106.0,9.05,10.0,10.0,10.0,1980.0,43.3
Cote d'Ivoire,Other,False,,unknown,False,0,0,0.01,0.09,1.16,9.53,17.96,38.37,0.17,2.4,7.309993498280255,7.628072410749679,37.244,60.14,7.691,4.461,318.0,90.0,,,,,
Croatia,Europe & Central Asia,False,,catholic,False,0,1,38.95,51.62,55.98,92.9,98.86,110.47,46.63,85.87,,9.513808790488572,65.746488,77.52439,2.239,1.48,70.3,4.88,3.15,4.6875,9.0,1973.0,91.548
Cuba,Latin America & Caribbean,False,Spain,catholic,True,0,1,4.57,7.76,20.3,74.27,91.52,97.39,17.44,55.32,,8.889072299712167,63.316,77.407,4.129,1.489,49.0,5.38,-7.0,-7.0,-7.0,1974.0,72.56599999999999
Curaçao,Other,False,,unknown,False,0,0,2.01,14.54,42.91,80.34,89.53,90.79,42.12,74.52,,9.605753103420682,65.406,76.501,5.13,1.4,,,,,,1976.0,80.988
Cyprus,Europe & Central Asia,False,Britain,protestant,True,1,0,4.85,8.74,17.47,68.67,94.48,98.07,12.96,63.39,,10.199721091525065,63.32,81.23,3.393,1.361,57.2,2.74,10.0,10.0,10.0,1975.0,68.67
Czech Republic,Other,False,,unknown,False,0,0,92.08,96.59,98.17,99.04,99.31,113.5,97.74,99.14,,9.864390473399848,70.34878,78.226829,2.09,1.74,28.4,3.15,9.722222222222221,9.6875,9.0,1960.0,98.86
Democratic People's Republic of Korea,East Asia & Pacific,False,Japan,none,True,0,0,0.0,1.4,30.86,99.9,99.97,99.97,26.9,86.65,,,55.814,72.783,3.568,1.821,117.0,21.1,-9.548387096774194,-10.0,-10.0,1988.0,99.97
Democratic Republic of the Congo,Sub-Saharan Africa,True,Belgium,catholic,True,0,1,0.16,1.49,8.17,30.48,48.15,59.66,0.49,14.32,7.172304430997381,6.154545837201392,40.752,60.428,6.105,6.206,274.0,97.4,-2.3548387096774195,2.0625,5.0,,
Denmark,Europe & Central Asia,False,,protestant,False,1,0,99.87,99.88,99.86,99.41,99.4,107.14,99.8,99.87,9.771140970774503,10.931937636223992,72.176585,81.602439,2.57,1.68,25.0,4.22,10.0,10.0,10.0,1960.0,99.8
Dominican Republic,Latin America & Caribbean,True,Spain,catholic,True,0,1,1.67,5.67,12.27,36.26,63.84,83.22,11.96,17.9,7.226723222598034,8.90867747851525,51.705,72.636,7.555,2.329,147.0,31.3,6.451612903225806,7.8125,8.0,1997.0,60.498000000000005
Ecuador,Latin America & Caribbean,True,Spain,catholic,True,0,1,1.0,3.74,10.02,33.69,56.76,76.38,10.36,31.39,7.779751344836058,8.585914703261825,53.396,72.004,6.721,1.967,177.0,15.1,7.838709677419355,6.75,5.0,1993.0,53.542
Egypt,Middle East & North Africa,True,Britain,protestant,True,1,0,0.45,2.27,8.15,28.14,60.94,104.29,3.49,10.76,6.626274110458536,8.235060884885291,44.436,69.79,6.793,2.85,315.0,23.6,-5.419354838709677,-4.875,-4.0,2014.0,75.89800000000001
El Salvador,Latin America & Caribbean,True,Spain,catholic,True,0,1,0.22,1.4,6.32,23.67,51.28,69.73,5.45,13.74,,8.244999079957505,48.292,70.244,6.618,1.819,185.0,15.3,5.838709677419355,7.125,8.0,2007.0,57.651999999999994
Equatorial Guinea,Sub-Saharan Africa,False,Spain,catholic,True,0,1,0.0,0.04,2.72,20.9,26.16,41.01,0.21,21.59,,8.62609466517572,42.742,62.141,5.653,4.346,298.0,94.2,-6.32258064516129,-5.9375,-6.0,,
Estonia,Europe & Central Asia,False,,protestant,False,1,0,0.14,7.61,64.02,98.42,98.15,120.85,64.23,98.49,,9.900831312702593,68.749268,78.595122,1.98,1.58,45.1,3.18,7.7,8.125,9.0,1964.0,93.024
Ethiopia,Sub-Saharan Africa,True,,none,False,0,0,0.1,0.26,0.57,2.74,8.97,19.62,0.15,1.74,,6.64470783239888,39.615,65.969,6.514,4.274,276.0,63.5,-2.8125,-0.5,-3.0,,
