country,shortnam,colonizer,religion,protestant,independence_year,latitude,avexpr,logem4,logpgp95_ajr,euro1900,polity2_2015,edu_1900_cohort_lsec,edu_1925_cohort_lsec,edu_1900_cohort_primary,edu_1925_cohort_primary,edu_1950,edu_1975,edu_2000,edu_2020,edu_female_1950,edu_female_1975,primary_1950,log_gdp_1960,log_gdp_2020,le_1960,le_1975,le_2020,tfr_1960,tfr_1975,tfr_2020,u5mr_1960,u5mr_2020,crossing_year,edu_at_cross
Egypt,EGY,Britain,protestant,1,1922,26.8,6.7727274894714355,4.216562271118164,7.951559543609619,0.0,-4.0,0.45,2.27,0.87,3.56,8.15,28.14,60.94,104.29,3.49,18.84,10.76,6.626274110458536,8.235060884885291,44.436,51.734,69.79,6.793,5.749,2.85,315.0,,2014.0,75.89800000000001
El Salvador,SLV,Spain,catholic,0,1821,13.8,5.0,4.357990264892578,7.948031902313232,20.0,8.0,0.22,1.4,4.95,7.91,6.32,23.67,51.28,69.73,5.45,19.22,13.74,,8.244999079957505,48.292,53.422,70.244,6.618,5.705,1.819,185.0,,2007.0,57.651999999999994
Gabon,GAB,France,catholic,0,1960,-0.8,7.818181991577148,5.63478946685791,8.907882690429688,0.0,3.0,0.0,0.0,0.0,0.02,0.51,24.29,43.95,48.98,0.16,11.83,3.59,8.105095215797249,8.784817392744904,46.443,55.455,67.073,4.422,5.391,3.831,229.0,,,
Gambia,GMB,Britain,protestant,1,1965,13.4,8.272727012634277,7.293017864227295,7.272398471832275,0.0,-5.0,0.0,0.0,0.0,0.0,0.03,10.69,30.4,54.15,0.01,4.59,0.04,,6.508409374798563,34.574,42.192,64.418,6.246,6.428,4.248,361.0,,,
Ghana,GHA,Britain,protestant,1,1957,7.9,6.2727274894714355,6.504288196563721,7.365180015563965,0.0,8.0,1.63,6.53,2.47,8.58,18.64,48.84,55.4,66.42,7.51,36.81,22.55,7.00375890193554,7.585887352410722,46.942,49.323,64.309,6.89,6.762,3.541,209.0,,,
Guatemala,GTM,Spain,catholic,0,1821,15.8,5.136363506317139,4.2626800537109375,8.294049263000488,20.0,8.0,0.69,2.13,3.96,8.24,6.33,15.22,31.16,52.23,6.67,13.19,15.36,7.5414499788123015,8.295508354660438,45.76,52.832,69.971,6.999,6.41,2.47,221.0,,2010.0,42.84
Guinea,GIN,France,catholic,0,1958,9.9,6.545454502105713,6.18001651763916,7.489970684051514,0.0,4.0,0.0,0.03,0.01,0.15,0.71,9.38,12.62,31.42,0.21,3.65,1.56,,6.851788875239312,36.623,40.606,59.35,6.112,6.367,4.489,348.0,,,
Guyana,GUY,Britain,protestant,1,1966,4.9,5.886363506317139,3.4713451862335205,7.9047040939331055,2.0,7.0,5.33,16.64,9.7,32.84,32.72,65.54,83.0,92.64,29.79,67.71,60.99,7.913400371381745,9.10615805141829,57.51,60.375,67.751,6.331,4.45,2.491,92.1,,2022.0,93.02
Haiti,HTI,France,catholic,0,1804,18.9,3.7272727489471436,4.867534637451172,7.146772384643555,0.0,0.0,1.85,3.33,3.76,5.9,5.21,12.25,41.96,52.54,4.39,10.1,9.11,7.458778006961097,7.194209937219189,43.44,48.72,63.773,6.178,5.748,2.804,283.0,,,
Honduras,HND,Spain,catholic,0,1821,15.2,5.318181991577148,4.357990264892578,7.687080383300781,20.0,7.0,1.46,2.28,7.05,8.9,3.92,14.28,26.75,48.37,4.11,13.67,10.73,5.336649415725659,7.691397285480679,47.149,57.523,70.864,7.458,6.866,2.577,209.0,,2009.0,37.658
